,Sentence,Technique
133,Why were Tamika Mallory and Danny Davis reluctant to denounce him,Doubt
134,monthlong backlash,Loaded_Language
135,stamped out,Loaded_Language
136,"This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly ... have fought to create for so many years",Jingoism
137,poison pill,Loaded_Language
138,the worst school shootings in US history,Hyperbole
139,hailed,Loaded_Language
140,for “certain” public adulterers,Loaded_Language
141,cunning ecclesiastical politician,Loaded_Language
143,And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow,Loaded_Language
148,But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line,Loaded_Language
150,synodal charade,Loaded_Language
152,the grim reality of this unprecedented pontificate,Loaded_Language
153,the old reliable “mistranslation,Loaded_Language
154,reckless appeasement,Loaded_Language
155,disastrous,Loaded_Language
156,“It’s a new monster.”,Loaded_Language
157,milquetoast,Loaded_Language
159,turned his back on millions of dissidents,Hyperbole
161,turning Iraq into a virtual vassal state of the largest state sponsor of terrorism,Hyperbole
163,American blood,Jingoism
164,Whether the Trump administration follows through remains to be seen,Doubt
165,virtual vassal,Loaded_Language
166,Paddock’s body may have been left in the hotel room while other assailants carried out the shooting,Doubt
167,It’s gotta be a set-up,Doubt
168,This throws their entire narrative into question and makes one wonder what else is being hidden from the public?,Doubt
169,seemingly covering up the ISIS connection,Doubt
170,so-called evidence,Doubt
171,lied to the American people,Jingoism
172,What Else Are They Hiding?,Doubt
174,lied to the country,Jingoism
176,cannot be trusted and should be considered as disinformation,Doubt
181,accused Jews of drinking blood,Loaded_Language
182,Holocaust Syndrome” of entitlement,Loaded_Language
185,Its perversion,Loaded_Language
186,accused Jews of drinking blood,Loaded_Language
187,"Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews. Being Jewish is highly identified with being white because of Zionism",Jingoism
188,simmer,Loaded_Language
189,very dirty and unappealing water under the Catholic bridge,Loaded_Language
190,Who can read this without cringing at what we now know was about to happen,Loaded_Language
191,"Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it",Loaded_Language
192,"The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard. It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept. It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”",Loaded_Language
193,it was outright wicked,Loaded_Language
194,this sacramental reality that was about to be catastrophically obscured,Loaded_Language
195,is demonically brilliant,Loaded_Language
196,will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration,Loaded_Language
197,pernicious nonsense,Loaded_Language
198,why weren’t the police rushing to the scene immediately,Doubt
199,constantly changing story,Doubt
200,While we may never know the exact circumstances,Doubt
201,a natural disaster of a magnitude not seen in over a century,Hyperbole
202,the unprecedented level of destruction,Hyperbole
204,wrath,Loaded_Language
205,devastated,Loaded_Language
206,we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis,Jingoism
207,hurricane-ravaged,Loaded_Language
208,series of shocking comments,Loaded_Language
209,huge bombshell,Loaded_Language
210,we are not being told what actually happened that fateful night,Doubt
211,a huge bombshell in the ongoing investigation,Doubt
212,"With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical",Doubt
213,"with an open heart and mind, but above all with open eyes",Loaded_Language
214,Dr. Fastiggi has succumbed to an unfortunate literal-mindedness,Loaded_Language
215,"demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse",Loaded_Language
216,I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public,Doubt
217,Irony of ironies,Loaded_Language
219,What exactly do they want us to believe?,Doubt
220,There are obviously certain things that the FBI and other investigators seem intent on covering up,Doubt
221,so why change the narrative to make it even more unbelievable?,Doubt
222,astonishing eyewitness report,Loaded_Language
223,"Keep in mind, this is all information that the police and the FBI has hidden",Doubt
224,"Keep in mind, this is all information that the police and the FBI has hidden from the American people",Jingoism
226,One can only speculate as to what the reasons for these lies actually are?,Doubt
228,you move closer to legalizing all illegals,Hyperbole
231,accused Jews of drinking blood,Loaded_Language
234,go whine to the New York Times some more,Loaded_Language
235,burn crosses on their lawn,Loaded_Language
236,terrified,Loaded_Language
237,knapsack of entitled nonsense,Loaded_Language
238,whining,Loaded_Language
241,"Further, the FBI insists there is no jihad motive, while saying they don’t know his motive",Doubt
242,That raised a number of question,Doubt
243,Are they for real?,Doubt
244,Do the FBI and law enforcement think people won’t talk about it or speculate as to what happened? Are they for real?,Doubt
245,contradicting a timeline they had offered earlier this week…,Doubt
246,These discrepancies on basic facts are feeding conspiracy theories,Doubt
247,fiasco,Loaded_Language
248,trying to clean up the mess,Loaded_Language
249,"reckless abandonment of facts in favor of ego and ideology""",Loaded_Language
250,lying to the American people.”,Jingoism
255,disastrous nuclear deal,Loaded_Language
256,shamelessly denied,Loaded_Language
257,let’s just kick the can down the road,Loaded_Language
258,phony agreements,Loaded_Language
259,phony deals,Loaded_Language
260,extremely,Loaded_Language
261,unprecedented,Loaded_Language
262,difficult at best,Loaded_Language
264,they want the public to believe,Doubt
265,His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas,Doubt
266,mysteriously vanished into thin air,Doubt
268,cramming lies down our throats,Loaded_Language
270,they desperately want us to believe,Doubt
271,murderous regime,Loaded_Language
272,Iran’s long rap sheet of aggression against America,Jingoism
273,seizure and hostage crisis,Loaded_Language
274,Trump described Iran’s crimes and acts of war against America,Jingoism
276,"Unfortunately, it is also likely, indeed, it is more likely, that his words will not be translated into policies to achieve these critical aims",Doubt
277,ugly public fight,Loaded_Language
280,overarching hostility and aggression,Loaded_Language
286,sordid,Loaded_Language
293,largely ignored it,Loaded_Language
294,harsh position,Loaded_Language
295,"its aggressive, destabilizing, and unlawful behavior",Loaded_Language
297,the stupidity of the American government,Loaded_Language
298,outlaw behavior,Loaded_Language
299,caught red-handed,Loaded_Language
301,to kick the can down the road as usual,Loaded_Language
302,a modicum of sense,Loaded_Language
303,High Alert,Loaded_Language
307,high alert,Loaded_Language
308,incredibly,Loaded_Language
310,their dream of independence is all but dead,Hyperbole
311,apparently clueless to the presence of 800 U.S. troops in Niger,Doubt
312,Would the American people support such a war with U.S. troops?,Jingoism
314,And only one force in the region has the power to reverse the present outcome of Syria's civil war--the United States,Jingoism
315,what if the,Doubt
316,What if,Doubt
317,"secure, is that really a victory?",Doubt
319,Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret,Jingoism
320,no reasonable person can honestly believe,Hyperbole
321,"Really? What, like the CIA was using typewriters instead of computers and pay telephones instead of cell phones",Doubt
322,the extreme nonchalance,Hyperbole
323,absolutely ludicrous,Loaded_Language
325,Something dreadful,Loaded_Language
326,cherished long-secret records,Loaded_Language
329,the two most important and meaningless words,Loaded_Language
330,result in the United States falling into the ocean,Hyperbole
331,the communists are going to take over the federal government,Hyperbole
332,the extreme nonchalance,Loaded_Language
334,the mainstream media has never given any serious consideration,Hyperbole
335,pat frame-up,Loaded_Language
340,the CIA steadfastly kept secret from the American people,Jingoism
341,Every American owes it to himself to read that manual,Jingoism
342,to keep some of the CIA’s decades-old JFK’s related assassination records secret from the American people,Jingoism
344,crisis of epic proportions,Hyperbole
345,"the blurry picture feels like it’s worth a good deal more than 1,000 words. It illuminates just a small sliver of the public health crisis",Loaded_Language
346,the post-apocalyptic ravaged territory,Hyperbole
347,The islands are grappling with,Loaded_Language
348,the power grid’s utter annihilation,Hyperbole
349,Crisis Of Epic Proportions,Loaded_Language
350,devastating,Loaded_Language
351,devastated,Loaded_Language
352,but more can and should be done to help Americans impacted by these disasters,Jingoism
353,utter annihilation,Loaded_Language
354,looming crisis,Loaded_Language
358,grotesque,Loaded_Language
361,venomous,Loaded_Language
366,enamored,Loaded_Language
368,Destruction,Loaded_Language
369,wild,Loaded_Language
371,absurd,Loaded_Language
373,hatemongering,Loaded_Language
374,toxic hate,Loaded_Language
380,People Are Literally ‘Dancing With Corpses’,Loaded_Language
381,dancing with corpses.”,Loaded_Language
384,The plague is a lie,Hyperbole
385,government is just exaggerating the problem,Hyperbole
386,government is just exaggerating the problem to get money ahead of an election next year,Doubt
387,it isn’t that anyone is putting this past a government to lie for profits,Doubt
388,the whole plague is some kind of a government conspiracy,Doubt
390,Kicked Off,Loaded_Language
391,kicked off,Loaded_Language
394,utterly unacceptable,Hyperbole
396,the absurd attacks,Loaded_Language
398,blatant agenda,Loaded_Language
399,"why did a BDS-led campaign name and shame me for my affiliation with a Jewish organization, and call on students to remove me from student government for this reason",Doubt
400,"If BDS is not anti-Semitic, why was I barred from participating in student government because of my Jewish identity",Doubt
403,"they demonstrate their lack of understanding about how things work in Washington, D.C",Doubt
404,isn’t even questioning that ludicrous notion,Hyperbole
405,a grave threat to “national security,Hyperbole
406,suspension of logic and common sense,Loaded_Language
407,America’s sworn Cold War enemy,Jingoism
408,skate blissfully across the Cold War stage of history with nary any abuse or harassment at all,Hyperbole
409,Don’t make me laugh,Doubt
410,A blind man could see what was happening,Hyperbole
412,with some earthshattering new information,Hyperbole
413,the United States would fall into the ocean if Americans were finally permitted to see the CIA’s long-secret,Hyperbole
417,ridiculous and illogical,Loaded_Language
420,ludicrous notion,Loaded_Language
421,"is, well, laughable",Loaded_Language
423,who had absolutely no motive to kill President Kennedy,Hyperbole
426,"For anyone who has a critical, analytical, independent mindset, the official story is filled with holes",Doubt
428,or even an iota of harassment,Hyperbole
429,It skewers them,Loaded_Language
434,dreadfully wrong,Loaded_Language
435,shrouded in mystery,Loaded_Language
436,the United States did not fall into the ocean or fall to the communists,Hyperbole
437,earthshattering new,Loaded_Language
438,But how likely is that,Doubt
439,the CIA has argued that the release of any of its JFK records would threaten “national security,Jingoism
440,"Imagine spending all that time studying Islam and yet still misunderstanding its true, peaceful message",Doubt
442,We can only hope that learned imams such as Pope Francis and H.R. McMaster will go to Virginia forthwith and explain to Mohamad Jamal Khweis the proper understanding of the Religion of Peace,Doubt
444,drunken one,Loaded_Language
445,I ruined my life and my family’s life,Loaded_Language
446,executed his plan to perfection,Hyperbole
448,botched investigation,Loaded_Language
449,"This is not the Soviet Union, this is not Iran or Riyadh – this is America",Jingoism
451,"still the incompetent, clueless authorities know nothing",Doubt
453,local and federal authorities are refusing to fill in the blanks,Doubt
454,That’s the information they seek to blackout,Doubt
460,had an attack of her legal conscience,Loaded_Language
461,she will not let it go quietly into the night,Loaded_Language
463,throw a wrench,Loaded_Language
464,Explode’,Loaded_Language
465,the epidemic could explode anytime,Loaded_Language
466,unleashing the sickness on the globe,Hyperbole
471,local continue to balk that their rituals have contributed to the outbreak,Doubt
474,bolstered my own “Great Clarifier” theory,Loaded_Language
475,"the poor, poor woman",Loaded_Language
477,cheap and vulgar ritual humiliation,Loaded_Language
481,who “scandalize” believers,Loaded_Language
482,supreme shepherd.”,Loaded_Language
485,Signaling furiously,Loaded_Language
487,howling tantrums,Loaded_Language
488,given the boot,Loaded_Language
489,little incident,Hyperbole
490,extremely bad,Loaded_Language
491,the “cool kids,Loaded_Language
492,blithering incoherence,Loaded_Language
495,lionized,Loaded_Language
496,widespread cover-up,Loaded_Language
497,the American people are clearly not being told the truth,Doubt
498,complete nonsense,Loaded_Language
499,authorities are actually actively covering up what really happened,Doubt
500,striking example,Loaded_Language
501,stunning tower audio,Loaded_Language
502,violently remove,Loaded_Language
503,a reign of terror,Loaded_Language
505,violently remove,Loaded_Language
507,overwhelmingly,Hyperbole
508,dreadfully wrong,Loaded_Language
509,one of the most brilliant and cunning ruses in history,Loaded_Language
510,one of the most ingenious and cunning plots ever designed,Hyperbole
512,the CIA succeeded in keeping secret from the American people,Jingoism
513,kept secret from the American people since 1963,Jingoism
515,a total success,Hyperbole
516,The Guatemalan operation was brilliant and ingenious,Hyperbole
517,The CIA’s cover-up in the JFK assassination was even more brilliant and ingenious,Hyperbole
518,"the brilliance, ingenuity, and cunningness of the cover-up",Hyperbole
522,the ingenious way,Hyperbole
523,to never reveal the meeting to the American people,Jingoism
524,Tantalizing Mystery,Loaded_Language
525,"commentators should do more complete research, maybe even use Google, before they jump to conclusions",Doubt
526,he failed to conclude his article with one great big important point about former CIA Director Richard Helms,Doubt
527,great big important point,Hyperbole
528,great big important point,Hyperbole
529,Shapira failed to note that Helms was convicted in a federal district court of lying to Congress under oath,Doubt
532,"harass, abuse, humiliate, persecute, or prosecute him",Loaded_Language
533,without nary a care in the world?,Hyperbole
537,keeping secret from the American people,Jingoism
542,ingenuity and cunning come into play,Loaded_Language
544,a secret fraudulent and bogus autopsy,Loaded_Language
546,worked brilliantly,Hyperbole
547,to continue keeping 98 percent of the CIA’s decades-long secret records secret from the American people,Jingoism
548,continues to work brilliantly today,Hyperbole
549,ingenious and cunning plots,Loaded_Language
550,pernicious campaign of hate,Loaded_Language
551,misguided joke,Loaded_Language
552,public and humiliating reversals,Loaded_Language
553,outrage,Loaded_Language
554,The toxic environment,Loaded_Language
557,were quashed,Loaded_Language
559,But Democratize SSMU was anything but democratic,Doubt
560,shamefully,Loaded_Language
561,repulsive display leftist-fascist bigotry at its worst,Hyperbole
564,their manifestly anti-Semitic campaign antics were beyond the pale,Hyperbole
567,sparked outrage,Loaded_Language
568,"Judging by past “investigations” conducted by other schools – SFSU, CUNY and UCI, to name a few – I am not optimistic",Doubt
569,passionately advocated,Loaded_Language
570,ignominious end,Loaded_Language
571,charade,Loaded_Language
572,Slowly but surely we are beginning to see the truth about the horrific attack come to light despite authorities desperately trying to prevent it from reaching the American people,Doubt
573,authorities desperately trying to prevent it from reaching the American people,Jingoism
574,"Sadly, the picture emerging is one that includes a shocking amount of evidence pointing towards a classic deep state false flag operation",Doubt
575,classic deep state false flag operation,Loaded_Language
576,NO CURE,Loaded_Language
577,WORSE Than The ‘Black Death’,Loaded_Language
578,devastating communities,Loaded_Language
579,regions already devastated by the ongoing black death outbreak,Loaded_Language
582,a devastating letter,Loaded_Language
583,a chronic confusion seems to mark your pontificate…,Loaded_Language
584,"To teach with such a seemingly intentional lack of clarity inevitably risks sinning against the Holy Spirit, the Spirit of truth",Doubt
587,"Ironically, your pontificate has given those who hold harmful theological and pastoral views the license and confidence to come into the light and expose their previously hidden darkness…",Loaded_Language
588,"from deep within the post-conciliar ecclesial establishment, things that exceed in their candor",Loaded_Language
589,a withering indictment of a papacy that constitutes nothing less than a menace to the Church,Loaded_Language
601,MUTATE,Loaded_Language
607,devastated,Loaded_Language
608,difficult at best,Loaded_Language
609,meaning he hasn’t bothered to do any serious investigation beyond a few Google searches,Doubt
611,And what inference might one draw from the coincidence that Saint Francis’ prophecy of a future “destroyer” in the papal office seems to correspond rather well with the pontificate of the only Pope who has taken Francis’ name as his own?,Doubt
612,"innovators who wish to dismantle the Sacred Chapel, destroy the universal flame of the Church, reject her ornaments and make her feel remorse for her historical past",Loaded_Language
613,"Christians will search in vain for the red lamp where God awaits them. Like Mary Magdalene, weeping before the empty tomb",Loaded_Language
614,t what he claimed were factual errors elsewhere in the Roche biography. But he had no evidence that the quotation as such was a fabrication. He simply wished that it was so,Doubt
615,an astonishing prophecy,Loaded_Language
616,Let’s give our neo-Catholic friends another “apocryphal” quotation to dismiss out of hand,Loaded_Language
617,"the malice of the wicked will increase. The devils will have unusual power; the immaculate purity of our Order, and of others, will be so much obscured that there will be very few Christians who obey the true Supreme Pontiff and the Roman Church with loyal ears and perfect charity",Loaded_Language
618,"“Those who persevere in their fervor and adhere to virtue with love and zeal for the truth, will suffer injuries and persecutions as rebels and schismatics",Loaded_Language
619,phony quotations of the saint,Loaded_Language
620,WTF video”,Loaded_Language
621,"the fact remains that the official story has been proven, time and time again, to be absolutely false and in fact nothing more than a pathetic attempt at a cover-up",Doubt
622,Amazingly,Doubt
623,strobes” it remains unlikely,Doubt
624,While we may never know,Doubt
625,a pathetic attempt,Loaded_Language
630,high alert,Loaded_Language
632,chilling warning,Loaded_Language
637,truly disgusting,Loaded_Language
638,completely and utterly out of control,Loaded_Language
642,deeply disturbing,Loaded_Language
644,the men “have no self-control.”,Loaded_Language
645,The American people are not going to put up with this any longer,Jingoism
646,Are you going to be a good girl?”,Loaded_Language
647,has exposed his genitals,Loaded_Language
648,their private parts grabbed on the House floor.”,Loaded_Language
649,exposed his private parts to a female staffer,Loaded_Language
650,and that goes double for someone that is supposed to be one of the leaders of our nation,Jingoism
651,completely naked,Loaded_Language
652,"would mess with every single woman or teen,”",Hyperbole
653,would grope all of our wives and girlfriend’s asses.”,Loaded_Language
654,would grope all of our wives and girlfriend’s asses.”,Hyperbole
655,"We are supposed to serve as an example to the rest of the world, and instead, we have become a bad joke",Jingoism
656,it is time to take our government back from the corrupt career politicians that are completely and utterly out of control,Jingoism
657,a bad joke,Loaded_Language
661,the “worst outbreak in 50 years,Hyperbole
665,feeding frenzy,Loaded_Language
666,absolutely disgusting cesspool of filth and corruption,Loaded_Language
667,very sick things,Loaded_Language
668,shout my story to the world with a megaphone,Hyperbole
670,sexual harassment is rampant in the halls of Congress”,Hyperbole
671,I felt violated all over again. Embarrassed. Belittled. Humiliated,Loaded_Language
672,completely unsatisfied,Hyperbole
673,very weak statement,Hyperbole
674,entirely insufficient,Hyperbole
675,very creepy manner,Loaded_Language
676,drugging and raping CBS reporter Lesley Stahl,Loaded_Language
677,I take her to the closet and rape her.’,Loaded_Language
678,fantasizing a machine would perform oral sex on him,Loaded_Language
680,ESCAPING,Loaded_Language
690,shocking,Loaded_Language
695,the epidemic of sexual harassment,Loaded_Language
696,"How Do You Like Paying For Sexual Harassment Settlements from Your Congress, America?",Jingoism
697,"How Do You Like Paying For Sexual Harassment Settlements from Your Congress, America?",Jingoism
698,they aren’t pretty,Loaded_Language
699,That money has come from the taxpayers of course,Jingoism
701,the men “have no self-control.”,Loaded_Language
702,the lawmakers with the worst reputations,Hyperbole
704,The American people have a right to know,Jingoism
705,screeching halt,Loaded_Language
708,ugly,Loaded_Language
709,very ugly,Loaded_Language
710,bombshell,Loaded_Language
711,hostile,Loaded_Language
712,American people,Jingoism
713,very nervous,Loaded_Language
714,remarkable,Loaded_Language
717,national security,Jingoism
718,Bombshell,Loaded_Language
719,plot,Loaded_Language
720,huge,Loaded_Language
721,American hero,Jingoism
722,devastating,Loaded_Language
733,annoying,Loaded_Language
735,a spectacular show,Loaded_Language
736,“If this was a college student or Swedish kid would he be charged with murder?”,Doubt
737,No Justice for Kate Steinle,Hyperbole
738,"means to foment hate, to foment division and to foment a program of mass deportation,”",Loaded_Language
739,catapult a presidency along that philosophy of hate of others,Loaded_Language
740,We’re just shocked — saddened and shocked,Loaded_Language
741,"Justice was rendered, but it was not served",Loaded_Language
742,the verdict was “horrifying,Loaded_Language
743,heartbreaking death,Loaded_Language
744,disgraceful verdict,Loaded_Language
745,enjoyed all the rights of the American legal system,Hyperbole
746,politically correct nonsense,Loaded_Language
747,"He has already proved that in the sanctuary state of California, false-documented illegals are a privileged class",Hyperbole
751,utter and complete and total failure,Loaded_Language
752,American citizen,Jingoism
753,Disgraceful Verdict”,Loaded_Language
754,disgraceful verdict,Loaded_Language
755,The backlash to his release into the community crescendoed,Loaded_Language
756,fierce debate,Loaded_Language
757,"a horrible tragedy,”",Loaded_Language
758,extremely relieved”,Loaded_Language
759,unfairly politicized,Loaded_Language
760,heartbreaking death,Loaded_Language
761,my own damn bricks & building this damn wall myself!,Loaded_Language
762,So flipping outraged by this unjustice!,Loaded_Language
763,May San Francisco rot in hell!,Loaded_Language
764,endorsement of murder,Loaded_Language
765,This is outrageous!,Loaded_Language
766,A great injustice has been done,Loaded_Language
767,just fired,Hyperbole
768,political fodder,Loaded_Language
771,grieve from the bottom of my heart,Loaded_Language
773,praised the murderer of a foe of Pakistan’s blasphemy laws,Loaded_Language
774,defense of Britain and its values,Jingoism
775,destructive Radical Islamic Terrorism,Loaded_Language
776,I’m not sure we’re doing just fine,Doubt
781,so the locals really are a dull lot,Loaded_Language
783,decider-in-chief on who gets deported,Hyperbole
784,another bite at the apple,Loaded_Language
786,an 87 IQ is just about retarded,Loaded_Language
787,she has gone full rogue,Loaded_Language
788,pogrom,Loaded_Language
791,"fool even the credulous ""judges",Loaded_Language
792,inglorious,Loaded_Language
799,did she really think she or anyone would be safe?,Doubt
800,Safe by surrender? When did they ever work in the history of humankind?,Doubt
801,once great nation’s darkest moments and a low point for freedom,Loaded_Language
802,"the victory of Islamic law over Western law, sharia over freedom",Loaded_Language
803,this madness,Loaded_Language
804,a true rainbow coalition of human rights activists,Loaded_Language
806,grim and increasingly common reality,Loaded_Language
807,defending British values.”,Jingoism
808,the voices of sanity,Loaded_Language
809,call that nation back to a path that would secure freedom for her children and her children’s children instead of a path to national suicide,Jingoism
810,the most tyrannical and unprincipled papacy of recent history—,Loaded_Language
811,a gross understatement,Loaded_Language
812,the Mystical Body would then be without its head,Loaded_Language
813,the San Francisco show-trial in which he co-starred,Loaded_Language
815,"secret version of Russian roulette,”",Loaded_Language
816,society is progressing toward a social justice paradise ruled by a wise elite that knows what’s best for all,Hyperbole
819,to smash everything!”,Hyperbole
820,single worst act of tyranny,Loaded_Language
821,toying with the teaching office,Loaded_Language
822,half-baked theological notions,Doubt
826,"We elected you to make reforms, not to smash everything!”",Loaded_Language
827,in the explosive best-seller,Loaded_Language
829,given the disordered mélange of bits and pieces of things he has read that constitutes his theology,Loaded_Language
830,"But never, before Francis, has there been a Pope who dared to tyrannize the Magisterium itself by attempting to bend it to his errant personal opinions",Hyperbole
831,is derived from divine law and transcends the domain of positive ecclesiastical laws,Loaded_Language
832,cloak his absurd novelties,Loaded_Language
833,No Pope before him has ever dared to do such a thing,Hyperbole
834,that at the epicenter of the chaos is the most wayward Pope the Church has ever had to endure,Loaded_Language
835,is a standing rebuke to all the hierarchs who know what we all know,Hyperbole
836,the abuses of a tyrant on the Chair of Peter,Loaded_Language
837,a papal tyranny the Church has never before seen,Loaded_Language
838,"to cut out the cancerous growth of modernist theology that has implanted itself and is festering within the celebration of even the most sacred mysteries, before the cancer spreads and causes even greater damage?",Loaded_Language
840,"the divinely bestowed power to repel an assault on marriage, family and the very integrity of the Faith that is now",Loaded_Language
842,May Our Lady of Fatima intercede to obtain for them the grace of fortitude to do what must be done and what only they can do. Our hopes and prayers are with them as the foremost instruments of divine providence in the ecclesia Dei adflicta,Loaded_Language
843,"True love for the Church, indeed true charity toward Francis himself, requires of them nothing less than what was required of Saint Paul when the first Pope fell into error that jeopardized the very mission of the Church: that Peter be withstood to his face (Gal. 2:11)",Jingoism
844,"a power-hungry, manipulative dictator, [who] celebrated the abdication of Benedict XVI",Loaded_Language
845,lacking in any magisterial weight whatsoever—,Loaded_Language
846,outrageous overreach of papal authority,Loaded_Language
847,ominously clear,Loaded_Language
848,this latest papal travesty,Loaded_Language
849,"God's Holy Name, we beg you to act now -- before Pope Francis succeeds in tearing the Church in half completely",Loaded_Language
850,will infuriate,Loaded_Language
851,"Does this new footage reveal muzzle flashes from helicopters, an air assault, on the night of the massacre?",Doubt
852,"Did she disingenuously omit that inconvenient bit from her remarks, or fail to read the entire UN report?",Doubt
853,hypocritical,Loaded_Language
854,The US Is Blatantly Telling Lies,Doubt
855,entire premise of the U.N. report is almost completely incorrect,Doubt
856,Made in Iran’ stickers all over it.”,Loaded_Language
857,"Why is the U.S. singling out Iran, especially when the Houthi rebels are sworn enemies of al-Qaeda?",Doubt
858,schizophrenic approach,Loaded_Language
859,No amount of chest-thumping and empty rhetoric by American political and/or military leaders can offset this harsh reality,Loaded_Language
861,"nullity, how can an individual priest be capable of making such a judgment having to do with the eternal salvation of the soul in question?",Doubt
866,"Apparently, They Think We are Fools",Loaded_Language
867,he and his collaborators are busily engineering neo-Pharisaical escape hatches from the negative precepts of the divine and natural law emanating from the Sixth Commandment,Loaded_Language
868,Do they think we are fools?,Loaded_Language
869,verbal contortions,Loaded_Language
870,preposterous “solution”,Loaded_Language
871,moral and canonical nonsense,Loaded_Language
872,the conspiracy culminating in Amoris Laetitia,Loaded_Language
874,"all of which will be utter fakes, including some form of “pastoral integration” of homosexual unions",Loaded_Language
875,But we are not fools. And God will not be mocked. Francis and all his designs will ultimately come to nothing,Loaded_Language
876,lie from the pit of hell,Loaded_Language
881,our communities,Jingoism
